sample_name,filename,filename2
HMDP001,HMDP001_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP001_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP002,HMDP002_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP002_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP003,HMDP003_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP003_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP004,HMDP004_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP004_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP005,HMDP005_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP005_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP006,HMDP006_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP006_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP007,HMDP007_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP007_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP008,HMDP008_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP008_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP009,HMDP009_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP009_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP010,HMDP010_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP010_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP011,HMDP011_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP011_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP012,HMDP012_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP012_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP013,HMDP013_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP013_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP014,HMDP014_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP014_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP015,HMDP015_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP015_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP016,HMDP016_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP016_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP017,HMDP017_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP017_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP018,HMDP018_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP018_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP019,HMDP019_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP019_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP020,HMDP020_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP020_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP021,HMDP021_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP021_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP022,HMDP022_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP022_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP023,HMDP023_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP023_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP024,HMDP024_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP024_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP025,HMDP025_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP025_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP026,HMDP026_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP026_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP027,HMDP027_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP027_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP028,HMDP028_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP028_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP029,HMDP029_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP029_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP030,HMDP030_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP030_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP031,HMDP031_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP031_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP032,HMDP032_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP032_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP033,HMDP033_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP033_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP034,HMDP034_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP034_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP035,HMDP035_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP035_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP036,HMDP036_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP036_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP037,HMDP037_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP037_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP038,HMDP038_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP038_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP039,HMDP039_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP039_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP040,HMDP040_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP040_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP041,HMDP041_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP041_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP042,HMDP042_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP042_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP043,HMDP043_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP043_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP044,HMDP044_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP044_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP045,HMDP045_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP045_R2_trimmed_paired_mouseDNAremoved.fastq.gz
