sample_name,SRA_name,filename,filename2
HMDP001,Mouse01,HMDP001_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP001_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP002,Mouse02,HMDP002_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP002_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP003,Mouse03,HMDP003_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP003_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP004,Mouse04,HMDP004_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP004_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP005,Mouse05,HMDP005_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP005_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP006,Mouse06,HMDP006_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP006_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP007,Mouse07,HMDP007_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP007_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP008,Mouse08,HMDP008_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP008_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP009,Mouse09,HMDP009_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP009_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP010,Mouse10,HMDP010_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP010_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP011,Mouse11,HMDP011_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP011_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP012,Mouse12,HMDP012_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP012_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP013,Mouse13,HMDP013_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP013_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP014,Mouse14,HMDP014_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP014_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP015,Mouse15,HMDP015_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP015_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP016,Mouse16,HMDP016_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP016_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP017,Mouse17,HMDP017_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP017_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP018,Mouse18,HMDP018_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP018_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP019,Mouse19,HMDP019_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP019_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP020,Mouse20,HMDP020_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP020_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP021,Mouse21,HMDP021_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP021_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP022,Mouse22,HMDP022_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP022_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP023,Mouse23,HMDP023_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP023_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP024,Mouse24,HMDP024_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP024_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP025,Mouse25,HMDP025_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP025_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP026,Mouse26,HMDP026_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP026_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP027,Mouse27,HMDP027_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP027_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP028,Mouse28,HMDP028_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP028_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP029,Mouse29,HMDP029_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP029_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP030,Mouse30,HMDP030_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP030_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP031,Mouse31,HMDP031_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP031_R2_trimmed_paired_mouseDNAremoved.fastq.gz
