Sample,IID,FID,Sex,Wave,PE_total,filtered_gwas
HMDP001,1753,129X1/SvJ,M,1,26479800,yes
HMDP002,1794,129X1/SvJ,M,1,23979248,yes
HMDP003,1560,A/J,F,1,20335455,yes
HMDP004,1561,A/J,F,1,18113011,yes
HMDP005,1512,A/J,M,1,21399511,yes
HMDP006,1513,A/J,M,1,26104566,yes
HMDP007,1432,AKR/J,F,1,30589060,yes
HMDP008,1433,AKR/J,F,1,69494394,yes
HMDP009,1313,AKR/J,M,1,25397666,yes
HMDP010,1330,AKR/J,M,1,21925507,yes
HMDP011,1055,AXB10/PgnJ,M,1,32013687,yes
HMDP012,1085,BXD73/RwwJ,F,1,35667486,yes
HMDP013,1508,AXB12/PgnJ,F,1,25713925,yes
HMDP014,1650,AXB12/PgnJ,F,1,19081820,yes
HMDP015,1606,AXB12/PgnJ,F,1,21870788,yes
HMDP016,1607,AXB12/PgnJ,F,1,73179223,yes
HMDP017,1660,AXB13/PgnJ,F,1,16965195,yes
HMDP018,1680,AXB13/PgnJ,F,1,22477415,yes
HMDP019,1622,AXB13/PgnJ,M,1,19458303,yes
HMDP020,1664,AXB13/PgnJ,M,1,27171095,yes
HMDP021,567,AXB15/PgnJ,M,1,17443515,yes
HMDP022,599,AXB15/PgnJ,M,1,21637403,yes
HMDP023,1148,AXB19/PgnJ,F,1,10931128,yes
HMDP024,849,AXB19/PgnJ,F,1,34113799,yes
HMDP025,502,AXB19/PgnJ,M,1,22310760,yes
HMDP026,608,AXB19/PgnJ,M,1,27902263,yes
HMDP027,1280,AXB19a/PgnJ,F,1,19448349,yes
HMDP028,1281,AXB19a/PgnJ,F,1,26183522,yes
HMDP029,1415,AXB19a/PgnJ,M,1,17182802,yes
HMDP030,1416,AXB19a/PgnJ,M,1,14319344,yes
HMDP031,684,AXB19b/PgnJ,F,1,9537871,yes
HMDP032,685,AXB19b/PgnJ,F,1,14467416,yes
HMDP033,313,AXB19b/PgnJ,M,1,17461529,yes
HMDP034,314,AXB19b/PgnJ,M,1,23813815,yes
HMDP035,1072,AXB2/PgnJ,M,1,12328715,yes
HMDP036,1097,AXB2/PgnJ,M,1,12382260,yes
HMDP037,668,AXB4/PgnJ,M,1,18236792,yes
