IID,FID,Sex
1,NOD/ShiLtJ,F
2,NOD/ShiLtJ,F
3,NOD/ShiLtJ,M
4,NOD/ShiLtJ,M
5,NOD/ShiLtJ,M
6,SJL/J,M
7,SJL/J,M
8,SJL/J,M
9,FVB/NJ,F
11,FVB/NJ,F
12,FVB/NJ,F
13,FVB/NJ,M
14,FVB/NJ,M
15,FVB/NJ,M
16,FVB/NJ,F
17,FVB/NJ,F
18,FVB/NJ,F
19,FVB/NJ,M
20,FVB/NJ,M
21,FVB/NJ,F
22,FVB/NJ,F
23,FVB/NJ,F
24,FVB/NJ,F
25,FVB/NJ,F
26,FVB/NJ,M
27,FVB/NJ,M
28,FVB/NJ,M
30,A/J,M
31,A/J,M
32,CXB2/ByJ,F
33,CXB2/ByJ,F
34,CXB2/ByJ,M
35,CXB2/ByJ,M
36,CXB2/ByJ,M
37,NON/ShiLtJ,F
38,NON/ShiLtJ,M
39,NON/ShiLtJ,M
40,NON/ShiLtJ,M
41,DBA/2J,F
42,DBA/2J,F
44,DBA/2J,M
48,DBA/2J,F
49,DBA/2J,F
50,DBA/2J,F
51,DBA/2J,F
52,BXH9/TyJ,M
53,BXH9/TyJ,M
54,BUB/BnJ,F
55,BUB/BnJ,F
57,BUB/BnJ,F
61,DBA/2J,F
63,DBA/2J,F
64,BUB/BnJ,F
65,BUB/BnJ,F
66,BUB/BnJ,F
68,BUB/BnJ,M
69,SJL/J,F
70,SJL/J,F
71,SJL/J,F
72,SJL/J,F
73,SJL/J,M
74,SJL/J,M
75,SJL/J,M
76,SJL/J,M
77,BXD40/TyJ,F
79,BXD40/TyJ,F
81,BXD40/TyJ,M
102,BXD31/TyJ,F
109,BXA14/PgnJ,F
110,BXA14/PgnJ,M
113,BXA2/PgnJ,F
114,BXA2/PgnJ,F
115,BXD24/TyJ-Cep290<rd16>/J,M
116,BXD24/TyJ-Cep290<rd16>/J,M
117,BXD27/TyJ,F
120,BXD27/TyJ,M
122,BXD28/TyJ,M
123,BXD28/TyJ,M
124,CXB4/ByJ,M
125,CXB4/ByJ,M
126,CXB4/ByJ,M
129,SEA/GnJ,M
130,SEA/GnJ,M
135,A/J,F
151,AXB19a/PgnJ,M
164,SEA/GnJ,F
165,SEA/GnJ,F
166,BXD32/TyJ,M
168,BXD32/TyJ,M
177,BXH19/TyJ,F
191,BXA1/PgnJ,F
195,BXD40/TyJ,M
208,BXD34/TyJ,F
210,C57L/J,F
215,C57L/J,M
217,C57L/J,M
218,BXA24/PgnJ,M
219,BXA24/PgnJ,M
220,C58/J,F
221,C58/J,F
224,C57BL/6J,F
226,C57BL/6J,F
230,RIIIS/J,F
232,RIIIS/J,F
233,RIIIS/J,M
235,SJL/J,M
236,SJL/J,M
237,SJL/J,M
238,BXH22/KccJ,F
239,BXH22/KccJ,F
240,BXH22/KccJ,F
241,BXH22/KccJ,M
243,C58/J,M
245,C58/J,M
246,BXD27/TyJ,F
254,BXA7/PgnJ,F
257,BXA7/PgnJ,M
265,SJL/J,F
268,BXD32/TyJ,F
271,C58/J,M
273,KK/HlJ,F
275,KK/HlJ,F
280,KK/HlJ,M
283,BXA7/PgnJ,M
292,SWR/J,M
293,SWR/J,M
294,BXD27/TyJ,M
295,BXD27/TyJ,M
296,CXB3/ByJ,F
297,CXB3/ByJ,M
298,CXB3/ByJ,M
299,CXB3/ByJ,M
300,CXB3/ByJ,M
304,LG/J,F
309,AXB15/PgnJ,M
310,AXB15/PgnJ,M
313,AXB19b/PgnJ,M
314,AXB19b/PgnJ,M
316,AXB6/PgnJ,F
320,BXD13/TyJ,F
321,BXD13/TyJ,F
322,BXD13/TyJ,F
323,BXD13/TyJ,M
324,BXD13/TyJ,M
325,BXD13/TyJ,M
326,BXD13/TyJ,M
327,BXD36/TyJ,M
332,BXD1/TyJ,F
334,AXB8/PgnJ,F
335,AXB8/PgnJ,F
342,BXD1/TyJ,F
345,BXD1/TyJ,M
348,AXB15/PgnJ,F
349,AXB15/PgnJ,F
351,AXB15/PgnJ,F
361,AXB19a/PgnJ,M
